ip;asn;holder
192.168.178.1;-1;NO HOLDER
194.109.5.177;3265;XS4ALL-NL - Xs4all Internet BV
194.109.7.69;3265;XS4ALL-NL - Xs4all Internet BV
194.109.5.5;3265;XS4ALL-NL - Xs4all Internet BV
80.249.211.140;-1;NO HOLDER
1.1.1.1;13335;CLOUDFLARENET
192.168.0.1;-1;NO HOLDER
62.253.128.109;5089;NTL - Virgin Media Limited
62.253.174.178;5089;NTL - Virgin Media Limited
162.158.32.254;13335;CLOUDFLARENET
185.93.175.226;206238;FREEDOMINTERNET - Freedom Internet BV
185.93.175.237;206238;FREEDOMINTERNET - Freedom Internet BV
37.139.138.48;57866;FUSIX-AS - Fusix Networks B.V.
37.139.139.23;57866;FUSIX-AS - Fusix Networks B.V.
185.1.112.26;-1;NO HOLDER
10.71.6.12;-1;NO HOLDER
194.109.5.227;3265;XS4ALL-NL - Xs4all Internet BV
194.109.7.141;3265;XS4ALL-NL - Xs4all Internet BV
194.109.5.1;3265;XS4ALL-NL - Xs4all Internet BV
192.168.42.1;-1;NO HOLDER
213.51.196.49;33915;TNF-AS - Vodafone Libertel B.V.
213.51.158.108;33915;TNF-AS - Vodafone Libertel B.V.
213.51.64.58;33915;TNF-AS - Vodafone Libertel B.V.
213.46.182.38;6830;LIBERTYGLOBAL - Liberty Global B.V.
89.149.186.58;3257;GTT-BACKBONE - GTT Communications Inc.
141.136.97.98;3257;GTT-BACKBONE - GTT Communications Inc.
192.168.10.5;-1;NO HOLDER
77.70.122.1;35141;MEGALAN - A1 Bulgaria EAD
193.169.198.129;-1;NO HOLDER
193.169.198.68;-1;NO HOLDER
192.168.1.1;-1;NO HOLDER
45.26.156.1;7018;ATT-INTERNET4
12.242.113.45;7018;ATT-INTERNET4
4.68.62.225;3356;LEVEL3
4.15.112.22;3356;LEVEL3
10.0.0.1;-1;NO HOLDER
213.51.201.189;33915;TNF-AS - Vodafone Libertel B.V.
213.51.158.102;33915;TNF-AS - Vodafone Libertel B.V.
213.51.64.186;33915;TNF-AS - Vodafone Libertel B.V.
10.0.12.1;-1;NO HOLDER
62.3.80.21;13037;ZEN-AS - Zen Internet Ltd
62.3.86.82;13037;ZEN-AS - Zen Internet Ltd
51.148.73.54;13037;ZEN-AS - Zen Internet Ltd
51.148.73.162;13037;ZEN-AS - Zen Internet Ltd
51.148.73.169;13037;ZEN-AS - Zen Internet Ltd
62.203.44.1;3303;SWISSCOM - Swisscom (Schweiz) AG
193.134.95.200;-1;NO HOLDER
138.187.129.182;3303;SWISSCOM - Swisscom (Schweiz) AG
138.187.129.72;3303;SWISSCOM - Swisscom (Schweiz) AG
138.187.129.129;3303;SWISSCOM - Swisscom (Schweiz) AG
138.187.129.97;3303;SWISSCOM - Swisscom (Schweiz) AG
193.68.138.1;3245;DIGSYS-AS - Digital Systems Ltd
193.68.171.169;3245;DIGSYS-AS - Digital Systems Ltd
193.68.170.233;3245;DIGSYS-AS - Digital Systems Ltd
193.68.22.1;3245;DIGSYS-AS - Digital Systems Ltd
193.68.22.129;3245;DIGSYS-AS - Digital Systems Ltd
193.68.0.132;3245;DIGSYS-AS - Digital Systems Ltd
149.6.69.217;174;COGENT-174
130.117.50.93;174;COGENT-174
154.54.36.138;174;COGENT-174
149.14.44.10;174;COGENT-174
10.200.4.1;-1;NO HOLDER
62.155.245.203;3320;DTAG - Deutsche Telekom AG
217.5.116.218;3320;DTAG - Deutsche Telekom AG
62.157.250.38;3320;DTAG - Deutsche Telekom AG
195.22.214.165;6762;SEABONE-NET - TELECOM ITALIA SPARKLE S.p.A.
195.22.214.193;6762;SEABONE-NET - TELECOM ITALIA SPARKLE S.p.A.
10.1.10.1;-1;NO HOLDER
96.120.26.189;7922;COMCAST-7922
68.87.204.229;7922;COMCAST-7922
162.151.92.121;7922;COMCAST-7922
96.110.40.61;7922;COMCAST-7922
96.110.37.30;7922;COMCAST-7922
173.167.56.42;7922;COMCAST-7922
77.244.97.4;42652;DELUNET - inexio Informationstechnologie und Telekommunikation Gmbh
172.16.128.10;-1;NO HOLDER
100.127.0.1;-1;NO HOLDER
109.75.211.198;42652;DELUNET - inexio Informationstechnologie und Telekommunikation Gmbh
62.115.175.142;1299;TELIANET - Telia Company AB
62.115.144.199;1299;TELIANET - Telia Company AB
192.168.2.254;-1;NO HOLDER
195.190.228.37;-1;NO HOLDER
192.168.28.1;-1;NO HOLDER
62.155.241.87;3320;DTAG - Deutsche Telekom AG
62.154.43.206;3320;DTAG - Deutsche Telekom AG
4.69.136.250;3356;LEVEL3
212.162.30.242;3356;LEVEL3
192.168.88.1;-1;NO HOLDER
172.21.127.253;-1;NO HOLDER
109.194.120.30;41843;ERTH-OMSK-AS - JSC "ER-Telecom Holding"
172.68.8.3;13335;CLOUDFLARENET
172.68.8.2;13335;CLOUDFLARENET
116.255.14.1;38195;SUPERLOOP-AS-AP Superloop
27.122.122.177;38195;SUPERLOOP-AS-AP Superloop
103.200.13.98;38195;SUPERLOOP-AS-AP Superloop
103.26.68.78;-1;NO HOLDER
192.168.69.1;-1;NO HOLDER
206.55.185.129;10242;USINTERNET
207.153.5.2;10242;USINTERNET
207.153.0.44;10242;USINTERNET
207.153.0.12;10242;USINTERNET
206.108.255.45;-1;NO HOLDER
45.36.0.1;11426;TWC-11426-CAROLINAS
24.28.229.245;11426;TWC-11426-CAROLINAS
24.28.255.32;11426;TWC-11426-CAROLINAS
24.93.64.196;11426;TWC-11426-CAROLINAS
66.109.6.80;7843;TWC-7843-BB
66.109.5.117;7843;TWC-7843-BB
24.30.200.73;7843;TWC-7843-BB
206.50.17.254;2914;NTT-COMMUNICATIONS-2914
