ip;asn;holder
0:0:53f9:459f::1;-1;NO HOLDER
1.0.0.1;13335;CLOUDFLARENET
1.0.0.3;13335;CLOUDFLARENET
1.1.0.1;-1;NO HOLDER
1.1.1.3;13335;CLOUDFLARENET
103.58.228.2;134220;UFONE-AS-AP UFONE
103.58.229.2;134220;UFONE-AS-AP UFONE
109.0.66.10;15557;LDCOMNET - SFR SA
109.0.66.20;15557;LDCOMNET - SFR SA
109.195.16.1;50543;SARATOV-AS - JSC "ER-Telecom Holding"
109.197.192.1;50716;TELECOMRUNET - Telecom.ru Ltd
109.197.192.78;50716;TELECOMRUNET - Telecom.ru Ltd
109.237.224.20;50449;RU-KVANTZ - Limited Liability Company "Kvant"
109.237.224.21;50449;RU-KVANTZ - Limited Liability Company "Kvant"
109.247.114.4;29695;ALTIBOX_AS - Altibox AS
109.88.203.3;12392;ASBRUTELE - Brutele SC
114.114.114.114;174;COGENT-174
119.42.152.5;45235;GEONET GEOCITY NETWORK SOLUTIONS PVT LTD
122.197.254.136;9617;ZAQ Jupiter Telecommunications Co.
132.147.113.3;18106;VIEWQWEST-SG-AP Viewqwest Pte Ltd
138.201.66.172;24940;HETZNER-AS - Hetzner Online GmbH
141.0.144.2;56478;BCUBE-AS - Hyperoptic Ltd
141.10.85.129;553;BELWUE - Universitaet Stuttgart
148.122.16.253;2119;TELENOR-NEXTEL - Telenor Norge AS
148.122.164.253;2119;TELENOR-NEXTEL - Telenor Norge AS
149.112.112.112;19281;QUAD9-AS-1
151.5.216.15;1267;ASN-WINDTRE - WIND TRE S.P.A.
151.5.216.150;1267;ASN-WINDTRE - WIND TRE S.P.A.
156.154.70.3;397224;ULTRADNS
156.154.70.3;19905;NEUSTAR-AS6
156.154.70.5;397224;ULTRADNS
156.154.70.5;19905;NEUSTAR-AS6
162.223.13.118;36236;NETACTUATE
164.124.101.2;3786;LGDACOM LG DACOM Corporation
165.169.76.108;37002;Reunicable
168.126.63.1;4766;KIXS-AS-KR Korea Telecom
168.126.63.2;4766;KIXS-AS-KR Korea Telecom
169.239.0.20;327900;SIMPLYCONNECT-Simply-Computers
169.239.0.30;327900;SIMPLYCONNECT-Simply-Computers
169.55.51.86;36351;SOFTLAYER
172.168.24.22;10310;YAHOO-1
172.168.24.80;10310;YAHOO-1
172.50.1.1;21928;T-MOBILE-AS21928
172.64.36.1;13335;CLOUDFLARENET
172.64.36.2;13335;CLOUDFLARENET
175.100.191.221;55352;MCPL-IN Microscan Computers Private Limited
176.103.130.130;199274;MNGTNET - Serveroid, LLC
176.103.130.131;199274;MNGTNET - Serveroid, LLC
176.95.16.250;3209;VODANET - Vodafone GmbH
176.95.16.251;3209;VODANET - Vodafone GmbH
177.92.29.202;14868;COPEL Telecomunicacoes S.A.
181.213.132.4;28573;CLARO S.A.
181.213.132.5;28573;CLARO S.A.
181.45.64.77;27747;Telecentro S.A.
181.47.248.145;27747;Telecentro S.A.
181.47.254.164;27747;Telecentro S.A.
185.107.12.83;204151;KVIKNET-DK - Kviknet.dk ApS
185.107.12.84;204151;KVIKNET-DK - Kviknet.dk ApS
185.145.248.130;48813;ENIX-AS - Enix SAS
185.149.252.250;202940;ITCNG - ITC NG ltd
185.158.64.4;202657;HNOJNIK - Pavel Jochim
185.158.92.10;29256;INT-PDN-STE-AS - Syrian Telecom
185.158.92.9;29256;INT-PDN-STE-AS - Syrian Telecom
185.16.40.143;199456;VLDTECH-ASN - VALID TECHNOLOGY L.P.
185.180.100.65;202940;ITCNG - ITC NG ltd
185.194.112.0;206754;ALISTAIR-MACKENZIE - Alistair Mackenzie
185.201.196.60;205818;VOYAGERHR - RIFIN d.o.o.
185.206.208.56;64475;FREIFUNK-FRANKFURT - Freifunk Frankfurt am Main e.V.
185.36.180.45;200129;LHISP - LHISP S.A.
185.36.180.48;200129;LHISP - LHISP S.A.
185.43.135.1;20701;CZNIC-AS3 - CZ.NIC, z.s.p.o.
185.92.52.25;8896;XFIBER-AS - XFIBER AS
185.97.100.2;203382;OXID-TELECOM - Oxid Telecom
186.251.148.21;28130;CERTTO TELECOMUNICACOES LTDA EPP.
186.251.148.22;28130;CERTTO TELECOMUNICACOES LTDA EPP.
188.165.197.144;16276;OVH - OVH SAS
188.172.144.120;56478;BCUBE-AS - Hyperoptic Ltd
190.104.12.42;27882;Telefonica Celular de Bolivia S.A.
190.157.8.100;10620;Telmex Colombia S.A.
190.157.8.38;10620;Telmex Colombia S.A.
190.160.0.11;22047;VTR BANDA ANCHA S.A.
190.160.0.15;22047;VTR BANDA ANCHA S.A.
190.160.0.57;22047;VTR BANDA ANCHA S.A.
190.211.101.254;262145;Cooperativa de Electrificacion Rural de San Carlos R.L. (Coopelesca R.L.)
190.55.154.129;27747;Telecentro S.A.
190.55.154.133;27747;Telecentro S.A.
190.55.154.137;27747;Telecentro S.A.
190.55.60.129;27747;Telecentro S.A.
190.55.60.130;27747;Telecentro S.A.
192.169.1.100;-1;NO HOLDER
192.231.203.132;4739;INTERNODE-AS Internode Pty Ltd
192.92.129.1;3245;DIGSYS-AS - Digital Systems Ltd
192.99.144.29;16276;OVH - OVH SAS
193.162.153.164;3292;TDC - TDC A/S
193.17.47.1;20701;CZNIC-AS3 - CZ.NIC, z.s.p.o.
193.177.188.4;58340;NEVE - Napapiirin Kuituverkot Oy
193.177.188.6;58340;NEVE - Napapiirin Kuituverkot Oy
193.2.1.66;2107;ARNES-NET - ARNES
193.2.1.72;2107;ARNES-NET - ARNES
193.210.18.18;1759;TSF-IP-CORE - Telia Finland Oyj
193.210.19.19;1759;TSF-IP-CORE - Telia Finland Oyj
193.229.0.40;719;ELISA-AS - Elisa Oyj
193.229.0.42;719;ELISA-AS - Elisa Oyj
193.239.186.141;35224;PLINQ - PLINQ BV
193.239.186.67;35224;PLINQ - PLINQ BV
193.239.21.21;3303;SWISSCOM - Swisscom (Schweiz) AG
